Filename,2024_POS_Anid-EV-alcA_CTRL_1_Run176.mzML,2024_POS_Anid-EV-alcA_CTRL_2_Run197.mzML,2024_POS_Anid-EV-alcA_CTRL_3_Run229.mzML,2024_POS_Anid-p2_1_Run179.mzML,2024_POS_Anid-p2_1_Run220.mzML,2024_POS_Anid-p2_1_Run241.mzML
Class,CTRL,CTRL,CTRL,EXP,EXP,EXP
774/233.1495mz/2.02min,558063.1,820749.7,931288.8,122447.4,209740.11,798596.44
776/197.1285mz/2.01min,362481.66,961479.94,7237.022,46449.973,183453.28,9918.299
777/265.1183mz/2.01min,376916.03,618106.3,424003.84,476276.66,561776.0,469746.1
778/200.0918mz/2.01min,5175927.5,5699434.5,1169180.2,3317626.0,5273544.5,3646263.0
780/228.0866mz/2.01min,3097417.5,3148843.5,2302288.5,2505456.5,2642062.8,1966634.1
782/195.1491mz/2.01min,2574346.5,3259581.5,8093.6455,204033.4,1703102.2,462574.38
785/142.0863mz/2.02min,62518.637,154769.48,2661923.0,383350.28,140850.27,1517716.0
787/169.0972mz/2.02min,1544962.0,2028615.8,1163385.1,1162219.4,1107192.4,1215771.8
788/182.0786mz/2.02min,0.0,0.0,4821479.5,3282864.5,252758.83,3959296.0
789/311.1237mz/2.02min,517539.88,523802.03,450303.56,417024.8,425761.6,469115.56
790/100.0756mz/2.02min,1172939.1,1672093.0,19696074.0,7614248.5,2829235.2,10617924.0
791/319.1862mz/2.02min,0.0,0.0,1698294.4,116794.42,8044.6406,256601.27
792/246.0972mz/2.02min,2035385.1,2463657.2,1027583.1,1146801.5,1110116.5,1018322.94
793/160.0968mz/2.02min,630692.9,2228387.5,22868074.0,8591727.0,3639058.2,11999727.0
794/262.1648mz/2.03min,3317.5854,3202.323,1487996.5,1406714.4,342857.44,1841531.6
797/137.0458mz/2.03min,472195.16,748609.1,251200.47,63049.6,132084.66,27918.22
800/236.0917mz/2.04min,1872417.8,2564804.8,2119092.8,1105741.9,1887825.1,1946309.6
801/227.1389mz/2.04min,301444.03,954287.6,617677.4,62087.504,41548.867,165896.56
802/300.1551mz/2.06min,202859.28,560253.6,28603.447,44798.215,59765.363,40029.676
803/218.0811mz/2.04min,541167.56,756540.9,465197.22,285593.6,477620.16,217419.94
804/139.0502mz/2.04min,3821.2788,3221.499,17231.365,427824.53,1871502.0,422643.94
806/178.0498mz/2.04min,0.0,0.0,412195.94,13825.339,113736.93,15871.473
809/329.1342mz/2.07min,305458.1,103498.02,837266.94,277848.88,498876.1,121759.516
813/203.139mz/2.06min,379150.75,521088.25,339052.22,845615.3,646894.7,1060292.0
814/192.0649mz/2.05min,0.0,0.0,915367.6,14375.412,35737.01,8558.852
816/181.0971mz/2.06min,796541.2,781577.7,238856.86,786509.0,812264.9,645855.4
820/220.0968mz/2.06min,1324940.0,1644838.4,1613000.2,1180296.5,1364248.1,1276162.2
821/189.1233mz/2.06min,1962856.8,2954625.5,1587143.2,1459114.2,1542644.8,2484745.5
822/199.1077mz/2.06min,19857676.0,21181664.0,5273755.0,20909442.0,23032636.0,19661094.0
826/215.139mz/2.06min,9906594.0,11861938.0,26449320.0,12729399.0,15705384.0,16568710.0
827/188.0376mz/2.06min,3951480.8,4226845.0,1426887.6,31452.484,344097.66,56421.555
828/230.1386mz/2.06min,3895.355,10571.717,834445.7,1244374.4,156021.58,1566410.2
834/200.1111mz/2.05min,1375670.5,730524.3,169005.1,1824205.0,1575010.6,1186932.5
839/295.1288mz/2.11min,795095.1,834664.9,935658.25,266246.4,388725.03,751967.1
842/247.1288mz/2.08min,622576.75,806636.7,793591.5,296070.84,308271.62,678773.9
845/192.0632mz/2.09min,2442413.2,2584514.0,0.0,76236.35,125506.36,37567.215
846/456.2334mz/2.08min,29400.674,60291.49,14260.175,105542.445,920113.1,108689.85
849/206.0422mz/2.08min,3673560.0,2687542.5,2795497.2,2393388.0,2178125.5,2525775.8
850/184.0604mz/2.09min,13722705.0,21537064.0,13153495.0,6913632.5,8422847.0,8728296.0
