Filename,NEG_TJGI2pt1_EV_gpdA_CTRL_1_Run14.mzML,NEG_TJGI2pt1_EV_gpdA_CTRL_2_Run144.mzML,NEG_TJGI2pt1_EV_gpdA_CTRL_3_Run195.mzML,NEG_TJGIp7_1_Run17.mzML,NEG_TJGIp7_2_Run141.mzML,NEG_TJGIp7_3_Run156.mzML
Class,CTRL,CTRL,CTRL,EXP,EXP,EXP
67/153.0557mz/2.16min,26660.945,38744.57,53826.625,26340.574,36566.383,47262.477
68/131.0714mz/2.21min,137986.11,166555.34,169418.98,134876.48,182603.55,162418.95
69/180.0337mz/2.26min,25159.244,39853.14,40124.16,3813.3486,217997.3,24256.266
70/196.0108mz/2.26min,2137854.2,3994986.5,3915618.8,1752018.1,8676481.0,3174377.8
71/144.0455mz/2.34min,869289.56,680520.56,722656.75,783665.7,788226.06,728169.56
72/158.0823mz/2.36min,143659.61,148174.6,168394.48,145311.52,164255.95,166161.77
73/188.0353mz/2.4min,717033.7,737707.56,786489.0,776156.7,799435.1,754751.25
74/139.0401mz/2.45min,380847.6,1000188.75,1121717.4,734646.2,1024567.75,819810.2
75/769.234mz/2.57min,689802.56,981869.2,1100387.2,1029944.06,1225470.8,1301306.0
76/815.2397mz/2.57min,480706.06,748264.3,877930.06,770867.8,934730.06,1010147.75
77/178.051mz/2.62min,150918.5,179995.73,181987.83,168772.36,203835.52,185573.98
78/213.9639mz/2.64min,338189.56,220124.5,221333.0,948815.1,242197.81,208457.28
79/158.0823mz/2.72min,608420.6,534149.56,567824.4,520616.1,611612.4,652690.06
80/444.2005mz/2.73min,10987.552,32905.71,31348.61,29316.463,57285.188,40061.2
82/158.0823mz/2.81min,1320021.0,1062837.8,1061862.4,1137244.1,1236306.9,1234651.4
83/131.0714mz/2.81min,3969693.8,5380116.5,4644734.0,4435683.0,5192764.5,4691715.5
85/426.1899mz/2.87min,120845.28,217184.0,214696.7,210922.05,320253.84,268977.44
86/171.1027mz/2.95min,257055.6,42814.19,37708.93,113927.21,37825.586,37654.812
87/186.1136mz/2.95min,1674071.9,1777681.5,1475168.5,1816394.9,1260839.9,1366082.6
88/426.19mz/2.97min,823611.0,1445008.5,1351070.6,1413126.9,2070069.5,1659056.5
89/192.0667mz/2.97min,674453.3,478064.7,520074.75,568529.1,634577.06,630558.7
90/153.0558mz/2.98min,205231.05,700604.56,825801.06,446596.3,784399.3,518574.72
91/456.2005mz/2.99min,69451.23,115060.05,118270.31,137946.75,167410.11,123449.65
92/165.0557mz/3.02min,710869.06,951157.7,894746.1,795336.5,916180.5,915253.0
93/173.082mz/3.04min,484495.03,371902.28,408927.53,415520.62,401167.2,401453.34
94/164.0354mz/3.05min,596248.4,621138.6,616422.75,574165.94,635671.06,642768.75
95/186.0772mz/3.05min,751721.4,827539.5,852534.44,842266.7,824414.6,861819.3
96/456.2006mz/3.1min,479606.62,690616.44,641559.7,809887.7,987976.25,692717.9
97/227.129mz/3.19min,178045.78,181693.89,193533.22,206373.4,246772.6,215780.84
99/245.0932mz/3.2min,1894369.5,2654307.2,2527735.5,2469075.0,2804478.8,2585811.5
101/195.0663mz/3.21min,33409.28,27895.129,50549.05,0.0,35940.945,49836.375
102/178.051mz/3.25min,575404.44,568215.5,574364.94,526038.7,690491.8,542938.75
103/187.0977mz/3.3min,56617.836,54389.21,143267.12,7247.825,63547.97,59028.184
104/144.0455mz/3.27min,513206.5,301320.53,319832.7,468352.78,356500.03,341761.78
