"","Filename","NEG_D5-Ctrl-a-P-EAMeOH_Run29.mzML","NEG_D5-Ctrl-b-P-EAMeOH_Run32.mzML","NEG_D5-Ctrl-c-P-EAMeOH_Run35.mzML","NEG_D5-211-C2-a_Run119.mzML","NEG_D5-211-C2-b_Run122.mzML","NEG_D5-211-C2-c_Run125.mzML"
"1","Class","CTRL","CTRL","CTRL","EXP","EXP","EXP"
"2","95/156.0666mz/2.06min","1733748.8","1872108.8","2523212.8","2059053.9","2262684.5","2129786.8"
"3","96/117.0557mz/2.14min","277106.16","316710.8","639036.44","3855.6716","7818.665","67049.53"
"4","97/145.0507mz/2.2min","22439.887","28718.418","87804.89","73839.66","71177.16","61961.316"
"5","98/203.0827mz/2.24min","467016.78","534114.5","1071897.4","273314.88","245039.56","216527.08"
"6","99/175.0612mz/2.51min","962792.25","849976.5","1400721.2","836720.44","930737.3","798405.25"
"7","101/158.9786mz/2.52min","3536.664","0.0","4014.6902","262453.34","7756.47","129439.3"
"8","102/230.1014mz/2.61min","569439.25","548138.75","685155.2","721925.3","781092.06","713509.44"
"9","103/297.0856mz/2.61min","900791.6","844271.56","1131284.8","1071771.1","1157524.9","1070289.5"
"10","104/229.0982mz/2.61min","4051459.2","3797914.2","5254959.0","5024419.0","5508786.0","4977417.5"
"11","105/158.9785mz/2.68min","3703.0503","3427.2007","24763.277","309832.4","4233.0146","117001.32"
"12","106/230.1015mz/2.7min","465087.56","162285.1","378078.5","330040.0","359657.94","465255.38"
"13","107/229.0982mz/2.73min","1895743.1","1845616.4","2537166.5","2398797.2","2598872.5","2323310.0"
"14","108/297.0857mz/2.73min","446782.88","432685.75","596428.06","546743.75","603859.0","530864.3"
"15","109/233.1031mz/2.8min","497641.03","417133.75","884046.94","843216.9","896161.9","771025.4"
"16","110/131.0714mz/2.9min","745701.75","852093.2","1970840.2","212918.08","289653.84","1174272.2"
"17","111/172.098mz/2.99min","410828.25","377352.62","52802.383","670888.25","49090.445","34525.703"
"18","112/306.0763mz/3.0min","0.0","0.0","0.0","0.0","16613.504","59855.625"
"19","113/130.0873mz/3.03min","64281.227","59318.617","141443.4","113411.016","123750.164","113690.88"
"20","114/172.098mz/3.04min","743560.4","719284.5","1366140.4","1141130.1","1283235.1","1046496.7"
"21","115/165.0557mz/3.09min","388517.22","388555.75","796677.8","1386326.4","1414340.0","1271909.9"
"22","116/217.0424mz/3.52min","1700377.5","1914248.5","2132795.0","1786918.8","1790274.4","1737028.6"
"23","117/361.1506mz/3.65min","392541.62","332334.75","822678.4","541178.2","578469.1","539784.0"
"24","118/449.203mz/3.85min","833547.25","684124.8","1348344.9","1371160.4","1601426.5","1402630.2"
"25","119/295.9539mz/4.68min","405551.97","425607.03","410886.97","462104.12","442749.3","464533.44"
"26","120/297.9518mz/4.68min","387331.97","409474.0","395731.28","442559.72","423555.12","443915.2"
"27","121/229.9644mz/4.69min","1723078.8","1784216.2","1754863.9","2026941.6","1966212.2","2019742.4"
"28","122/227.9666mz/4.69min","1769908.8","1838150.9","1803878.8","2077965.5","2031649.9","2084319.4"
"29","123/426.9677mz/4.98min","11118694.0","12548922.0","14067742.0","8304116.0","6402597.5","6126914.0"
"30","124/494.9552mz/4.97min","602897.9","696935.25","771930.44","425709.47","327623.75","316297.66"
"31","126/450.2626mz/5.67min","47963.566","51488.184","67519.91","258883.23","196293.39","284285.6"
"32","127/538.3148mz/5.71min","0.0","0.0","0.0","181889.61","138278.11","160697.34"
"33","129/450.2626mz/5.77min","55889.31","63590.492","69777.09","1766379.5","1291261.6","1671825.4"
"34","130/538.3149mz/5.81min","0.0","0.0","0.0","2355299.2","1680298.4","1675674.2"
"35","131/478.2934mz/5.81min","0.0","0.0","0.0","57878.883","31632.059","35613.816"
"36","132/277.1842mz/5.9min","145080.17","1045204.75","202360.4","129334.76","83043.24","343931.03"
"37","133/265.1479mz/6.07min","1104937.0","1241907.1","1456497.9","773676.06","721934.7","757901.1"
"38","134/217.0423mz/6.1min","481186.7","845823.0","555241.9","851732.0","787289.7","896082.06"
"39","135/277.1841mz/6.15min","46292.902","513862.94","55775.875","10584.406","17778.125","67250.1"
"40","136/452.2783mz/6.16min","59045.008","63510.99","82779.28","1512235.0","1233417.1","1441079.0"
"41","137/271.2279mz/6.2min","131797.38","126720.76","189121.61","222515.67","207779.97","232613.83"
"42","138/540.3306mz/6.2min","0.0","0.0","0.0","1214259.2","894363.7","869020.0"
"43","139/478.2939mz/6.23min","254580.6","265953.34","297923.38","629176.25","480915.78","585507.1"
"44","140/566.3461mz/6.27min","0.0","0.0","0.0","226128.88","184075.6","190549.47"
"45","141/496.2682mz/6.32min","88521.49","97876.2","78690.78","855731.8","712794.5","768181.44"
"46","142/277.1842mz/6.26min","63073.477","484446.06","86923.15","0.0","8743.426","52986.438"
"47","143/478.2938mz/6.3min","48826.35","50700.543","261750.27","385446.94","308182.66","351485.66"
"48","144/566.3461mz/6.37min","0.0","0.0","0.0","595035.94","427789.94","442717.56"
"49","145/291.1999mz/6.36min","90224.68","989414.9","154414.14","60389.914","60446.887","247746.86"
"50","146/571.2887mz/6.44min","0.0","0.0","0.0","7037970.5","6329394.5","6235209.0"
