Filename,POS_TJGI2pt1_EV_gpdA_CTRL_1_Run13.mzML,POS_TJGI2pt1_EV_gpdA_CTRL_2_Run143.mzML,POS_TJGI2pt1_EV_gpdA_CTRL_3_Run194.mzML,POS_TJGIp7_1_Run16.mzML,POS_TJGIp7_2_Run140.mzML,POS_TJGIp7_3_Run155.mzML
Class,CTRL,CTRL,CTRL,EXP,EXP,EXP
298/144.1019mz/2.05min,49199.188,20743.158,113513.625,20332.227,25247.781,57042.92
300/146.1176mz/2.07min,390600.94,258922.44,330650.62,284623.5,360088.3,384780.62
302/254.1385mz/2.08min,492422.66,234368.27,367548.34,354292.22,459572.6,482722.84
304/170.0812mz/2.09min,243944.94,232905.72,329703.4,158144.23,440560.75,398365.03
305/217.1047mz/2.21min,1846940.1,2563310.8,2898801.2,2040098.0,1925067.9,2388106.5
306/102.0914mz/2.13min,410428.34,638013.6,950261.06,382039.6,898716.2,700480.0
307/232.1543mz/2.1min,1597093.2,1726145.9,1607168.4,410562.53,2009524.0,1680942.5
308/184.1697mz/2.16min,33341.29,114198.85,240853.03,54551.723,543595.0,1038924.06
309/195.1228mz/2.2min,1317170.1,572778.3,580296.6,1248452.6,605447.9,504579.0
311/157.0835mz/2.21min,974588.06,870005.56,1089472.5,888169.7,966449.5,889711.5
312/113.0597mz/2.22min,2503632.0,1780983.4,2031160.0,1762494.4,1990548.2,1973022.1
314/146.1176mz/2.29min,124545.61,53709.03,10639.266,170539.95,38612.504,15970.111
315/116.0528mz/2.25min,14489.091,145005.38,98870.98,0.0,309170.0,48660.598
320/231.1703mz/2.33min,385684.44,161518.61,454397.8,533844.06,261184.52,428942.12
321/146.0601mz/2.34min,2204377.5,1482783.8,1723027.8,1655398.0,2078427.6,1757103.5
322/187.0941mz/2.33min,200853.92,737196.5,323563.44,67380.38,166075.64,293109.66
323/146.1175mz/2.34min,4313.3726,157340.03,227835.97,13861.031,275816.75,245922.72
324/157.0835mz/2.38min,923798.56,2504576.2,3144559.5,704205.94,2603642.0,2304799.5
328/114.0914mz/2.4min,1993567.9,1236144.5,1077517.9,1313610.0,1203503.4,977289.44
329/190.0499mz/2.41min,1661454.1,2473106.5,2694924.8,1908190.9,2894657.2,2653554.8
332/239.1488mz/2.44min,581280.1,188410.78,176440.69,416328.6,192021.25,145627.81
333/141.0546mz/2.45min,795470.8,1788941.6,2038452.1,1588497.9,2170135.5,1607585.5
334/201.1597mz/2.46min,409427.22,393281.3,348786.2,194325.98,978486.5,318712.3
335/184.1696mz/2.45min,65354.688,136735.1,169272.45,60694.977,77292.516,204476.6
336/103.0947mz/2.48min,460195.47,246678.53,268980.75,168559.02,575929.2,199565.83
