"","Filename","2024_NEG_CC_1_Run21.mzML","2024_NEG_CC_2_Run48.mzML","2024_NEG_CC_3_Run62.mzML","2024_NEG_CC-VPA_1_Run27.mzML","2024_NEG_CC-VPA_2_Run36.mzML","2024_NEG_CC-VPA_3_Run77.mzML"
"1","Class","CTRL","CTRL","CTRL","EXP","EXP","EXP"
"2","39/328.9796mz/2.13min","1595063.4","1454756.1","1189924.5","1293459.4","1258192.8","1434725.5"
"3","40/312.9847mz/2.36min","218778.83","561715.5","438103.03","569337.75","232536.89","607976.25"
"4","41/312.9847mz/2.45min","623297.8","670231.4","611823.4","742118.06","620047.6","714165.1"
"5","42/373.0055mz/2.71min","2257010.2","2072115.2","2000419.6","2176881.5","2101727.0","2145384.8"
"6","43/370.9898mz/2.8min","919898.0","805295.6","803970.94","872295.3","800963.2","879787.56"
"7","44/265.0176mz/2.84min","1947526.1","1788778.2","1767804.5","1845944.5","1742283.6","1887821.0"
"8","45/397.0055mz/3.14min","328452.97","283622.03","286838.56","313821.38","298572.03","314974.78"
"9","46/265.0176mz/3.18min","3461896.0","3243903.8","3214153.5","3483578.5","3151629.0","3411319.8"
"10","47/212.0353mz/3.29min","2627980.0","3421620.8","8122291.5","3121117.0","10270768.0","5021817.0"
"11","48/421.0055mz/3.31min","92237.8","91984.9","75894.35","94960.09","82988.12","83182.44"
"12","49/421.0056mz/3.41min","3235767.2","2830852.0","2806243.8","2980195.5","2904630.5","3022413.5"
"13","50/249.0227mz/3.49min","6057187.0","5698965.0","5614002.0","5853130.0","5624856.5","7049094.5"
"14","51/582.981mz/3.53min","787449.2","682728.9","655657.0","763768.0","625795.44","732131.8"
"15","54/213.0386mz/3.54min","2748449.2","2243994.8","1611549.4","1828023.6","2228060.5","2855534.8"
"16","55/212.0353mz/3.54min","21804692.0","17830688.0","13307568.0","20061420.0","20273188.0","22536914.0"
"17","56/560.999mz/3.54min","4224123.0","3811020.2","3745378.5","4405759.0","3754145.0","3957876.2"
"18","57/405.0107mz/3.62min","18889106.0","17732686.0","17837680.0","19883718.0","18014474.0","18799506.0"
"19","58/811.0292mz/3.62min","370601.94","313384.12","323123.25","365236.38","331302.94","355930.4"
"20","60/406.0138mz/3.62min","3620992.2","3233143.8","3651887.2","3596725.8","3271738.2","3862296.5"
"21","61/407.0044mz/3.62min","1335789.1","1193888.5","1229078.0","1350858.0","1223308.1","1299259.1"
"22","63/421.0056mz/3.86min","512986.97","480279.0","452269.94","663759.6","565470.44","517193.25"
"23","64/309.1014mz/4.02min","441297.62","404056.2","392178.34","438184.47","417254.44","412285.94"
"24","65/605.0258mz/4.07min","890392.4","653391.7","723850.44","902511.4","637784.0","821103.8"
"25","67/422.19mz/4.15min","272363.72","187757.05","243852.88","261410.61","413014.66","271656.7"
"26","69/421.1867mz/4.15min","1159734.9","804098.2","977752.5","1044336.8","1783211.6","1109498.2"
"27","70/603.01mz/4.17min","387478.75","308302.4","342897.6","372374.78","306984.9","318198.9"
"28","71/447.0213mz/4.21min","339719.78","316512.9","332371.66","328557.88","307309.78","324787.25"
"29","72/263.0383mz/4.27min","347975.78","334334.7","330672.06","352966.22","349345.4","336456.8"
"30","74/282.9837mz/4.4min","397801.0","375756.44","353557.5","384899.56","370518.25","370539.25"
"31","75/242.1762mz/4.43min","504428.47","480038.28","483300.25","459155.9","496115.84","516662.94"
"32","76/497.0371mz/4.44min","1045720.06","917589.7","1010404.8","1037000.1","830682.1","914778.5"
"33","77/793.0186mz/4.49min","578193.4","626179.7","961622.25","828165.1","560724.1","866122.1"
"34","81/341.0486mz/4.56min","816816.8","701846.44","743425.94","788914.94","701422.5","752306.0"
"35","82/422.9768mz/4.56min","861216.7","751914.5","766555.3","800424.0","727943.7","802458.2"
"36","83/404.0444mz/4.56min","483724.84","442972.72","416306.72","468465.25","400811.5","473565.7"
"37","85/653.0255mz/4.57min","551684.56","624998.6","842026.56","653486.2","545862.3","735017.3"
"38","88/497.0371mz/4.67min","1315325.6","1395156.0","1874843.0","1688373.6","1299073.8","1527385.4"
"39","89/228.9699mz/4.74min","494201.06","455355.97","457055.28","513508.8","502921.6","456253.78"
"40","90/227.9666mz/4.74min","6061078.0","5891523.0","5632661.0","6236850.0","6186376.0","5770930.5"
"41","91/229.9645mz/4.74min","6014812.0","5972596.0","5573851.0","6186753.5","6061439.5","5612047.0"
"42","92/230.9678mz/4.74min","476722.94","474965.25","443309.94","480808.7","466190.4","457952.03"
"43","93/266.9888mz/4.76min","1691425.6","1532154.0","1368003.4","1632008.6","1507357.8","1551030.4"
"44","94/268.9857mz/4.76min","568111.9","515641.25","455835.0","527212.1","515610.66","497682.6"
"45","96/637.0305mz/4.78min","4013649.8","4042159.5","5572367.5","4593829.0","3889179.0","5184859.0"
"46","98/481.0421mz/4.92min","3987698.8","4070791.8","5142831.0","4585266.0","3817458.2","4629423.0"
"47","99/544.0379mz/4.92min","1574437.8","1655809.9","2149699.5","1871726.2","1515043.8","1951078.2"
"48","100/428.9624mz/4.97min","403793.75","396905.7","366830.4","300642.5","316346.6","285743.25"
"49","101/426.9678mz/4.98min","10754062.0","10561936.0","9637257.0","7927292.5","8388657.0","8199191.5"
"50","102/396.2154mz/4.99min","909457.56","536284.44","775604.8","671356.2","839238.1","947213.0"
"51","103/397.2189mz/4.99min","152305.28","94906.47","131348.61","124850.78","150480.06","164293.16"
"52","104/484.2681mz/5.03min","1311657.5","797769.3","1249536.9","1178386.0","1568127.9","1463050.8"
