"","Filename","2024_NEG_Y-EV_1_CTRL_Run89.mzML","2024_NEG_Y-EV_2_CTRL_Run118.mzML","2024_NEG_Y-EV_3_CTRL_Run139.mzML","2024_NEG_Y-p10_1_Run104.mzML","2024_NEG_Y-p10_2_Run130.mzML","2024_NEG_Y-p10_3_Run145.mzML"
"1","Class","CTRL","CTRL","CTRL","EXP","EXP","EXP"
"2","132/175.0611mz/2.03min","33782.637","47234.715","59266.492","11619.33","0.0","0.0"
"3","134/156.0666mz/2.06min","1941036.9","2403060.0","2666349.5","565749.3","250227.64","287153.5"
"4","135/378.1338mz/2.1min","1795059.2","1754215.5","2076771.2","939960.9","250825.8","426132.3"
"5","136/328.9796mz/2.11min","1287814.6","1309428.2","1167734.8","1500483.8","1219356.5","1306137.5"
"6","138/117.0558mz/2.12min","2737682.0","3140698.2","5628634.0","2507972.2","3574398.0","2048397.6"
"7","139/288.0725mz/2.16min","422992.06","359066.75","1185276.6","584753.7","789507.3","484943.16"
"8","140/218.1033mz/2.18min","110960.44","124719.82","185921.55","450248.66","644040.44","288988.47"
"9","141/382.1002mz/2.22min","398466.06","451457.47","446013.1","678359.94","706918.94","319823.0"
"10","142/322.0603mz/2.29min","700599.56","390128.78","1830993.4","1302629.8","64588.395","489319.2"
"11","143/229.1557mz/2.31min","0.0","0.0","0.0","0.0","1205156.8","125785.57"
"12","144/290.0882mz/2.33min","2449404.8","2665860.8","6628149.5","3247564.5","3911776.2","2896271.2"
"13","145/272.0776mz/2.32min","101462.875","107388.11","341064.5","136815.14","183868.1","116251.234"
"14","146/223.0724mz/2.37min","315993.7","362429.84","352128.34","138768.97","0.0","155477.22"
"15","147/190.0547mz/2.41min","214606.98","147239.72","1032941.6","402188.62","228417.86","260568.53"
"16","148/175.0611mz/2.43min","150813.27","202875.27","370098.16","148289.78","193051.94","131625.56"
"17","149/129.0557mz/2.44min","821257.75","1109955.6","7938902.5","1757962.0","1368336.4","2223998.5"
"18","150/342.0874mz/2.44min","11200.791","14088.302","18971.152","61364.38","423850.34","12592.242"
"19","152/237.0881mz/2.52min","961308.0","972926.0","1005261.06","609584.6","31424.39","710735.44"
"20","153/229.1557mz/2.52min","0.0","0.0","0.0","0.0","92163.94","0.0"
"21","154/175.0612mz/2.52min","3410724.2","4025306.2","7878366.5","2563229.8","2934443.2","3246028.5"
"22","155/176.0645mz/2.52min","236457.88","277225.12","564928.94","181180.72","196377.5","227728.17"
"23","156/292.0463mz/2.54min","81182.52","86465.484","194920.5","88640.29","0.0","65923.984"
"24","157/407.1206mz/2.6min","1015384.1","1109963.1","1189438.8","819826.0","224387.78","805715.3"
"25","158/373.0055mz/2.7min","1937484.5","1870944.9","1873511.6","1876484.1","1900406.5","1885443.9"
"26","159/178.0509mz/2.71min","1336737.8","1310032.2","1272146.6","773825.9","9280.092","723803.94"
"27","160/298.0933mz/2.71min","2152100.8","2145004.0","2047585.8","1272178.0","39558.23","1160115.4"
"28","161/370.9898mz/2.78min","612054.4","340991.5","323894.2","365366.2","775774.2","425995.9"
"29","162/272.0776mz/2.74min","135736.58","148433.56","356803.3","172498.2","203774.94","149074.36"
"30","163/304.1038mz/2.76min","4091128.2","4297834.0","10568270.0","5138907.0","6075137.0","4344250.0"
"31","164/224.0928mz/2.77min","126442.28","176541.03","496896.03","216011.84","272545.12","175488.89"
"32","165/286.0932mz/2.77min","244878.42","277315.25","710545.56","354152.1","408901.28","256952.62"
"33","167/113.0609mz/2.8min","313835.66","351036.4","720924.5","172501.39","134219.78","279342.22"
"34","168/157.0506mz/2.8min","2776096.2","3133822.5","6316448.0","1562928.1","1206608.8","2482034.5"
"35","169/265.0176mz/2.83min","1650498.6","1697598.5","1611131.0","1692830.5","1725437.9","1657486.9"
"36","170/136.0404mz/2.83min","5554352.5","6091058.5","9360481.0","3943217.8","963261.25","3652392.8"
"37","171/178.0509mz/2.87min","70176.69","78352.37","93282.74","43216.176","0.0","84445.71"
"38","172/298.0933mz/2.87min","104070.305","134513.0","156303.84","78065.09","0.0","115821.18"
"39","173/180.0577mz/2.87min","194758.06","212220.14","311428.88","152792.83","32202.541","144517.77"
"40","175/131.0714mz/2.92min","4909828.0","5368762.5","8910363.0","4855076.5","5321027.0","3505393.2"
"41","177/389.1564mz/2.95min","591402.8","636973.7","1668351.4","765525.8","916262.5","649374.2"
"42","178/320.0776mz/2.98min","123456.59","128056.48","385347.88","164738.84","212037.8","148801.9"
"43","179/338.0883mz/2.98min","1273225.5","1359826.1","3427858.2","1710299.6","2035856.5","1425599.4"
"44","180/258.0772mz/2.98min","28898.996","38957.68","114398.67","47960.254","60936.633","32092.615"
"45","182/292.0463mz/3.0min","191136.42","216288.08","504699.72","221025.52","48621.656","194181.4"
"46","183/310.0569mz/3.0min","1837153.6","1906308.9","4493857.5","2097307.5","531490.6","1722318.9"
"47","184/229.1557mz/3.07min","335455.78","339752.78","821279.56","415219.2","474245.6","363381.1"
"48","185/172.0979mz/3.08min","298350.94","311800.25","640666.4","303441.56","277263.38","262601.3"
"49","186/165.0557mz/3.13min","1644299.8","1732001.9","2991095.5","1787820.9","2371256.5","1415576.8"
"50","187/189.0768mz/3.13min","532595.44","571095.8","1085541.8","236018.48","106298.586","397378.28"
"51","188/397.0055mz/3.13min","288246.78","298091.1","278670.6","294180.28","281258.25","290487.4"
"52","189/85.0659mz/3.13min","200423.47","234140.6","428468.75","87265.414","31060.836","177905.7"
"53","190/113.0608mz/3.13min","37502.145","41764.9","91464.484","5064.709","0.0","30893.566"
"54","191/164.0353mz/3.14min","1542885.9","1743191.1","3461248.5","1242292.2","701353.3","1311755.0"
"55","192/265.0176mz/3.17min","3220640.2","2998618.2","2735092.0","3132528.2","2879692.2","3178656.2"
"56","193/224.0928mz/3.24min","445819.62","411615.53","1179200.9","585384.7","698720.0","504736.72"
"57","194/286.0933mz/3.24min","676439.1","699600.5","1756810.0","885327.1","1039946.1","754643.25"
"58","195/403.172mz/3.27min","2711957.8","2815448.2","6745427.0","3385651.5","4346399.0","2796721.0"
"59","196/421.0056mz/3.3min","83364.69","70822.27","69917.45","87505.83","66002.43","81810.12"
"60","197/238.0721mz/3.34min","182107.0","196388.78","393158.6","123061.586","5009.09","160389.67"
"61","198/178.0509mz/3.36min","239134.67","320237.62","426447.7","217187.05","67039.21","162690.0"
"62","199/421.0056mz/3.4min","3074538.5","2818251.0","2790453.5","3191890.0","2919788.0","2999672.2"
"63","200/144.0455mz/3.39min","206891.5","207629.9","350988.0","204465.77","309918.56","171581.28"
"64","201/258.0771mz/3.4min","162731.03","163000.75","414691.03","216630.16","250892.92","182929.12"
"65","202/320.0777mz/3.4min","518614.5","525066.94","1321670.0","676668.94","806539.0","593697.06"
"66","203/292.0463mz/3.43min","45453.562","48407.527","124667.19","53113.11","0.0","43383.414"
"67","204/249.0227mz/3.48min","6407318.5","6707730.0","6543680.0","6275355.5","6511112.5","5746292.0"
"68","205/279.9958mz/3.52min","19185850.0","18329880.0","18195384.0","20258908.0","18590196.0","19953754.0"
"69","207/582.981mz/3.52min","692068.7","695000.56","639792.8","674470.44","681436.56","698389.8"
"70","208/560.9991mz/3.52min","3583817.2","3651039.8","3427484.0","3885702.0","3786017.0","3498216.2"
"71","209/403.172mz/3.54min","6695.3677","23232.672","137740.3","33174.445","72577.1","23352.049"
"72","210/417.1877mz/3.55min","649944.56","610076.2","1654156.2","809776.94","1068771.6","679395.0"
"73","211/405.0107mz/3.6min","18992736.0","19084708.0","16496108.0","18421976.0","18342016.0","18559228.0"
"74","212/407.0044mz/3.6min","1281045.5","1295570.2","1165651.9","1197433.1","1252177.4","1208046.9"
