Filename,2024_NEG_Y-EV_1_CTRL_Run89.mzML,2024_NEG_Y-EV_2_CTRL_Run118.mzML,2024_NEG_Y-EV_3_CTRL_Run139.mzML,2024_NEG_Y-p11_1_Run98.mzML,2024_NEG_Y-p11_2_Run127.mzML,2024_NEG_Y-p11_3_Run151.mzML
Class,CTRL,CTRL,CTRL,EXP,EXP,EXP
128/175.0611mz/2.04min,33782.637,47234.715,59266.492,11274.707,5276.804,5592.1025
130/156.0666mz/2.06min,1941036.9,2403060.0,2666349.5,1307875.5,1599446.8,1549933.8
131/378.1338mz/2.1min,1795059.2,1754215.5,2076771.2,1225354.0,1473481.2,1408806.8
133/328.9796mz/2.12min,1287814.6,1309428.2,1167734.8,1240279.6,1444877.4,1193320.5
134/117.0558mz/2.12min,2737682.0,3140698.2,5628634.0,3412776.8,3100053.5,3079805.5
135/288.0725mz/2.17min,422992.06,359066.75,1185276.6,569651.1,471202.22,493289.75
136/322.0603mz/2.29min,700599.56,390128.78,1830993.4,412568.6,450686.44,462331.7
137/272.0776mz/2.33min,101462.875,107388.11,341064.5,135190.14,94698.52,115843.95
138/290.0882mz/2.33min,2449404.8,2665860.8,6628149.5,3294209.5,2475916.2,2753488.0
139/223.0724mz/2.37min,315993.7,362429.84,352128.34,196314.34,230255.3,240196.86
140/190.0547mz/2.41min,214606.98,147239.72,1032941.6,248529.0,165154.34,192810.16
141/175.0611mz/2.43min,150813.27,202875.27,370098.16,220824.33,193685.22,166649.05
142/129.0558mz/2.44min,821257.75,1109955.6,7938902.5,3803578.5,2022776.8,2343201.2
144/237.0881mz/2.52min,961308.0,972926.0,1005261.06,639698.25,725905.6,827113.3
145/176.0645mz/2.52min,236457.88,277225.12,564928.94,331046.44,282757.75,257018.64
146/175.0612mz/2.52min,3410724.2,4025306.2,7878366.5,4744425.0,4148151.8,3678597.5
147/292.0463mz/2.54min,81182.52,86465.484,194920.5,107864.8,73151.62,76848.055
148/407.1206mz/2.6min,1015384.1,1109963.1,1189438.8,752948.06,950047.7,920956.56
149/373.0055mz/2.7min,1937484.5,1870944.9,1873511.6,2022685.8,1990910.0,2045244.1
150/178.0509mz/2.72min,1336737.8,1310032.2,1272146.6,774264.8,970517.9,806031.6
151/298.0933mz/2.72min,2152100.8,2145004.0,2047585.8,1280393.2,1654845.5,1315882.0
153/272.0776mz/2.74min,135736.58,148433.56,356803.3,171054.81,134466.55,143326.17
154/304.1038mz/2.77min,4091128.2,4297834.0,10568270.0,5038312.5,3970002.0,4409791.0
155/286.0932mz/2.77min,244878.42,277315.25,710545.56,345667.94,258284.9,302960.1
156/224.0928mz/2.77min,126442.28,176541.03,496896.03,237502.55,162441.67,176756.64
157/370.9898mz/2.77min,730977.1,427546.44,392056.53,438754.0,395720.44,380101.4
158/113.0609mz/2.8min,313835.66,351036.4,720924.5,436104.5,383563.66,346312.72
