#SampleID	BarcodeSequence	LinkerPrimerSequence	filename	ATTRIBUTE_GNPSDefaultGroup
GF_S4_MC_RCG_1_neg_20210511_Run71.mzML	GATACA	GATACA	GF_S4_MC_RCG_1_neg_20210511_Run71.mzML	G1
GF_S4_MC_RCG_2_neg_20210511_Run91.mzML	GATACA	GATACA	GF_S4_MC_RCG_2_neg_20210511_Run91.mzML	G1
GF_S4_MC_RCG_3_neg_20210511_Run171.mzML	GATACA	GATACA	GF_S4_MC_RCG_3_neg_20210511_Run171.mzML	G1
GF_CC_MC_RCG_1_neg_20210511_Run76.mzML	GATACA	GATACA	GF_CC_MC_RCG_1_neg_20210511_Run76.mzML	G2
GF_CC_MC_RCG_2_neg_20210511_Run112.mzML	GATACA	GATACA	GF_CC_MC_RCG_2_neg_20210511_Run112.mzML	G2
GF_CC_MC_RCG_3_neg_20210511_Run177.mzML	GATACA	GATACA	GF_CC_MC_RCG_3_neg_20210511_Run177.mzML	G2
GF_PF_MC_RCG_1_neg_20210511_Run79.mzML	GATACA	GATACA	GF_PF_MC_RCG_1_neg_20210511_Run79.mzML	G3
GF_PF_MC_RCG_2_neg_20210511_Run97.mzML	GATACA	GATACA	GF_PF_MC_RCG_2_neg_20210511_Run97.mzML	G3
GF_PF_MC_RCG_3_neg_20210511_Run198.mzML	GATACA	GATACA	GF_PF_MC_RCG_3_neg_20210511_Run198.mzML	G3
GF_MC_RCG_Ctrl_1_neg_20210511_Run68.mzML	GATACA	GATACA	GF_MC_RCG_Ctrl_1_neg_20210511_Run68.mzML	G4
GF_MC_RCG_Ctrl_2_neg_20210511_Run147.mzML	GATACA	GATACA	GF_MC_RCG_Ctrl_2_neg_20210511_Run147.mzML	G4
GF_MC_RCG_Ctrl_3_neg_20210511_Run159.mzML	GATACA	GATACA	GF_MC_RCG_Ctrl_3_neg_20210511_Run159.mzML	G4
