"","Filename","GF_MC_RCG_Ctrl_1_neg_20210511_Run68.mzML","GF_MC_RCG_Ctrl_2_neg_20210511_Run147.mzML","GF_MC_RCG_Ctrl_3_neg_20210511_Run159.mzML","GF_CC_MC_RCG_1_neg_20210511_Run76.mzML","GF_CC_MC_RCG_2_neg_20210511_Run112.mzML","GF_CC_MC_RCG_3_neg_20210511_Run177.mzML"
"1","Class","CTRL","CTRL","CTRL","EXP","EXP","EXP"
"2","2105/706.186mz/4.01min","80683.54","27793.355","166997.4","659339.7","460733.16","583142.0"
"3","2106/621.3255mz/4.02min","1853581.1","1528722.8","2167807.5","2578743.5","2459730.8","2422805.0"
"4","2107/471.2614mz/4.02min","181898.94","170892.33","137127.52","66582.79","69520.79","44582.81"
"5","2108/667.3458mz/4.03min","212680.06","171454.8","194869.52","175812.0","199802.81","124673.375"
"6","2109/745.3571mz/4.04min","7194900.5","6141912.0","6747823.0","7082766.0","6657900.5","6902954.0"
"7","2110/765.4032mz/4.04min","96957.22","70725.336","113264.86","89236.3","84256.04","94536.414"
"8","2111/382.1984mz/4.04min","7727658.0","6049860.0","8194853.5","7206411.0","7050712.5","6656388.0"
"9","2112/428.1858mz/4.04min","1363033.0","973108.0","1952037.5","2879719.2","2450372.0","2442969.8"
"10","2114/356.1827mz/4.05min","179869.88","110655.31","240713.98","139669.75","121375.29","146042.86"
"11","2115/329.1718mz/4.05min","672650.8","492870.25","773020.3","600264.5","539596.9","567606.1"
"12","2116/285.1133mz/4.06min","533892.6","472009.4","652698.3","813485.1","745380.8","868056.44"
"13","2118/584.3111mz/4.07min","191121.48","163076.92","150156.3","139126.84","157347.02","112306.57"
"14","2119/396.2139mz/4.08min","1971380.0","1506228.5","2066352.2","2039699.8","2006184.2","1835969.8"
"15","2123/214.1449mz/4.09min","634296.75","308328.97","751591.75","732388.1","622841.25","650186.4"
"16","2124/964.5147mz/4.1min","425830.2","340923.9","404060.9","460391.12","432860.78","469383.53"
"17","2125/630.2591mz/4.11min","70925.45","57808.45","73416.984","77496.0","72514.984","65622.07"
"18","2126/495.2824mz/4.11min","274386.34","218096.95","375948.25","302250.84","241453.06","245752.61"
"19","2127/656.2939mz/4.11min","346911.03","305582.38","483801.66","332645.0","171848.44","397744.84"
"20","2128/681.3467mz/4.14min","3254456.0","2343162.2","4301857.5","4806997.0","4241358.5","4724246.0"
"21","2130/188.0176mz/4.15min","3246776.5","2942660.5","4380338.5","5313325.0","4276582.0","4989570.5"
"22","2131/232.0073mz/4.15min","2449076.0","2279041.8","3380081.2","4101368.5","3375096.2","3907546.0"
