Filename,2024_NEG_CC-Media_1_Run18.mzML,2024_NEG_CC-Media_1_Run54.mzML,2024_NEG_CC-Media_1_Run74.mzML,2024_NEG_CC_1_Run21.mzML,2024_NEG_CC_2_Run48.mzML,2024_NEG_CC_3_Run62.mzML
Class,CTRL,CTRL,CTRL,EXP,EXP,EXP
53/328.9796mz/2.13min,1492216.1,1282056.6,1414258.8,1595063.4,1454756.1,1189924.5
54/312.9847mz/2.35min,483343.28,449474.34,554324.6,218778.83,561715.5,438103.03
55/312.9847mz/2.45min,664206.5,634232.25,675047.56,634447.7,670231.4,611823.4
56/214.8799mz/2.6min,242649.1,256760.89,283746.62,152177.34,117031.98,158964.56
57/187.8609mz/2.59min,132698.62,100818.03,107487.06,0.0,0.0,0.0
58/373.0055mz/2.71min,2239492.5,2064097.9,2098639.0,2257010.2,2072115.2,2000419.6
59/370.9898mz/2.8min,877533.2,869602.5,831568.44,919898.0,805295.6,803970.94
60/265.0176mz/2.84min,1848049.0,1851875.9,1840601.8,1947526.1,1788778.2,1767804.5
61/397.0055mz/3.14min,327510.97,313323.8,290293.94,328452.97,283622.03,286838.56
62/265.0176mz/3.18min,2998084.0,2651552.5,2750286.8,3461896.0,3243903.8,3214153.5
63/212.0353mz/3.32min,421735.3,2496502.2,2606597.5,2627980.0,3421620.8,8122291.5
64/421.0055mz/3.31min,89920.39,80869.58,82386.92,92237.8,91984.9,75894.35
65/187.8609mz/3.39min,38111.543,24076.328,41244.785,0.0,0.0,0.0
66/421.0056mz/3.41min,2888813.2,2765725.8,2787632.2,3235767.2,2830852.0,2806243.8
67/249.0227mz/3.49min,7400062.5,5759205.5,6348194.0,6057187.0,5698965.0,5614002.0
68/582.981mz/3.53min,749650.8,723777.9,701201.06,787449.2,682728.9,655657.0
72/560.999mz/3.54min,4518771.5,3758840.0,3879919.0,4224123.0,3811020.2,3745378.5
73/213.0386mz/3.54min,1313738.9,1725384.8,1204428.4,2748449.2,2243994.8,1611549.4
74/212.0353mz/3.54min,12635498.0,13979973.0,14262299.0,21804692.0,17830688.0,13307568.0
76/811.0291mz/3.62min,376993.12,315286.28,359877.72,370601.94,313384.12,323123.25
77/405.0107mz/3.62min,19969106.0,18580204.0,18587698.0,18889106.0,17732686.0,17837680.0
78/407.0044mz/3.62min,1365502.2,1275976.4,1267675.2,1335789.1,1193888.5,1229078.0
79/406.0137mz/3.62min,3710374.8,3388360.8,3412423.0,3620992.2,3264432.2,3651887.2
81/421.0055mz/3.86min,449137.5,372050.88,549863.4,512986.97,480279.0,452269.94
82/309.1014mz/4.02min,454905.44,417382.06,421868.78,441297.62,404056.2,392178.34
