row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,Anid_HE_TJG15pt3_EV_alcA_CTRL_3_YT_pos_20210511_Run212.mzML Peak area,Anid_HE_TJG15pt3_EV_alcA_CTRL_1_YT_pos_20210511_Run46.mzML Peak area,POS_TJGIp2_3_Run191.mzML Peak area,Anid_HE_TJG15pt3_EV_alcA_CTRL_2_YT_pos_20210511_Run102.mzML Peak area,POS_TJGIp2_1_Run52.mzML Peak area,POS_TJGIp2_2_Run120.mzML Peak area,Unnamed: 19
4378,81.52046202843759,10.559467999999999,,,,155.0,,,,,,,23256456.0,14914067.0,21478626.0,18407936.0,16401070.0,20683370.0,
4255,83.06031799588455,10.114349,,,,,,,,,,,285022.12,478256.22,312196.25,1029817.56,1132269.1,921039.3,
75,83.06033013212262,0.37653193,,,,26.0,8.0,[M-2H2O+NH4]+,,2.0,75;53,101.04763,2129799.5,1793931.9,2679585.8,1804866.0,2055974.2,1693039.8,
4201,83.06034011304223,9.779487,,,,,,,,,,,131336.83,643229.5,135893.9,148783.42,110492.39,209813.2,
88,84.04437263903452,0.37803602,,,,26.0,15.0,[M+H]+,,2.0,88;75,83.03708,2704379.2,1587660.2,2385579.2,1712146.4,1735527.2,2479795.2,
4392,84.95960385756658,10.602675999999999,,,,155.0,,,,,,,1868236.5,846287.25,1658541.6,1239153.4,677604.94,1529744.1,
9,84.95968552887562,0.20626159,,,,,,,,,,,552013.94,1332840.9,633551.06,774417.94,2301529.5,2743143.5,
11,84.95969524655445,0.2468297,,,,,,,,,,,1280385.5,943775.56,633551.06,2410796.2,338991.38,649698.56,
257,86.06005986086996,0.85734445,,,,,,,,,,,2769480.8,3033401.5,3474942.5,3793234.5,3040997.8,2881817.5,
301,86.06006376870464,0.9523556000000001,,,,,,,,,,,58420.363,241025.3,155066.17,306512.53,211587.6,276233.72,
1918,86.09638877071481,6.1352983,,,,286.0,,,,,,,1434622.6,644570.6,1231800.8,2083811.2,241411.7,3699752.0,
2005,86.09639384229419,6.2879624000000005,,,,,,,,,,,585428.9,23664.68,341878.44,66598.64,11115.531,224576.19,
1832,86.09639701355694,6.0797349999999994,,,,,,,,,,,304443.97,2088542.6,245298.0,1298269.4,2680672.0,1890248.2,
237,86.0964246741073,0.73456067,,,,219.0,,,,,,,51831080.0,54949988.0,61630964.0,48343310.0,56607092.0,64617860.0,
544,86.09644419417009,2.7134112999999997,,,,,,,,,,,601177.3,500674.3,617945.9,671661.3,121018.05,57272.03,
928,86.0964474148456,3.6904318,,,,28.0,,,,,,,416075.75,846832.6,635512.1,668935.6,589706.1,719998.56,
