"","Filename","Anid_HE_TJG15pt3_EV_alcA_CTRL_1_YT_pos_20210511_Run46.mzML","Anid_HE_TJG15pt3_EV_alcA_CTRL_2_YT_pos_20210511_Run102.mzML","Anid_HE_TJG15pt3_EV_alcA_CTRL_3_YT_pos_20210511_Run212.mzML","POS_TJGIp1_1_Run49.mzML","POS_TJGIp1_2_Run105.mzML","POS_TJGIp1_3_Run179.mzML"
"1","Class","CTRL","CTRL","CTRL","EXP","EXP","EXP"
"2","366/215.139mz/2.0min","1639552.4","1920729.1","824239.4","1467112.9","2692246.0","1699472.8"
"3","367/268.1038mz/2.01min","214579.5","288999.16","161000.48","192969.11","323674.84","365332.56"
"4","372/282.1195mz/2.06min","5885477.5","3995361.5","5428877.0","4805475.5","5044809.0","5485235.5"
"5","374/209.0921mz/2.07min","1065235.9","660051.44","508034.53","884459.1","1659128.6","653070.4"
"6","379/227.1026mz/2.09min","6146038.0","3345160.0","2800670.0","5507120.5","6227081.5","5015237.0"
"7","382/220.118mz/2.11min","4392232.5","3409234.8","3418168.2","3996572.5","4437612.5","3871777.5"
"8","383/242.0998mz/2.11min","1761321.8","1258452.6","1249365.2","1633687.0","1632412.2","1399722.4"
"9","384/232.1543mz/2.11min","2883095.2","2189403.2","4195066.5","3269109.0","3208948.5","4287521.0"
"10","386/146.0812mz/2.15min","264727.2","282098.97","198358.1","270638.62","379689.44","518794.47"
"11","387/185.0784mz/2.16min","789885.9","596601.56","961772.06","778111.75","575884.5","718995.5"
"12","390/100.0757mz/2.15min","1210118.0","1783320.2","705688.44","1117994.6","1631110.1","2447577.8"
"13","392/279.1337mz/2.18min","214923.39","214585.88","154509.67","211447.61","392159.94","247588.92"
"14","393/228.1343mz/2.18min","437869.78","523553.4","521412.88","489092.7","792008.5","803379.25"
"15","394/242.1862mz/2.19min","3949589.8","3631734.5","4120439.2","4097945.5","5106894.0","4983046.5"
"16","396/195.1227mz/2.22min","728535.3","272987.88","157287.23","306173.88","248974.19","192299.47"
"17","397/217.1047mz/2.21min","1562316.5","807337.6","1162833.4","886663.3","961850.8","852301.44"
"18","398/205.0972mz/2.21min","510955.12","722376.4","372508.2","451517.88","691132.2","782593.56"
