"","Filename","2024_POS_Anid-EV-alcA_CTRL_1_Run176.mzML","2024_POS_Anid-EV-alcA_CTRL_2_Run197.mzML","2024_POS_Anid-EV-alcA_CTRL_3_Run229.mzML","2024_POS_Anid-p4_1_Run185.mzML","2024_POS_Anid-p4_1_Run194.mzML","2024_POS_Anid-p4_1_Run223.mzML"
"1","Class","CTRL","CTRL","CTRL","EXP","EXP","EXP"
"2","805/198.0762mz/2.0min","492454.0","213419.53","3636976.0","234121.47","2604364.0","2392781.8"
"3","815/197.1285mz/2.02min","362481.66","961479.94","7237.022","14783.803","29947.146","84698.36"
"4","819/265.1183mz/2.01min","376916.03","618106.3","424003.84","518349.4","578223.4","654088.0"
"5","821/228.0866mz/2.01min","3097417.5","3148843.5","2302288.5","4976804.5","2261152.5","2345063.2"
"6","822/195.1491mz/2.01min","2574346.5","3259581.5","8093.6455","11166.617","997125.4","1503411.1"
"7","823/169.0972mz/2.02min","1544962.0","2028615.8","1163385.1","751835.9","436194.72","1264526.2"
"8","824/200.0918mz/2.02min","5175927.5","5699434.5","1169180.2","583658.44","3425517.2","5000862.0"
"9","826/246.0972mz/2.02min","2080614.1","2470622.8","1027583.1","691341.9","1019887.9","1624949.5"
"10","827/142.0863mz/2.02min","62518.637","154769.48","2661923.0","1502418.6","248154.6","42118.23"
"11","828/311.1237mz/2.02min","517539.88","523802.03","450303.56","477049.47","430592.75","456352.62"
"12","829/319.1863mz/2.02min","0.0","0.0","1698294.4","266347.22","171240.98","0.0"
"13","830/182.0786mz/2.02min","0.0","0.0","4821479.5","3225691.0","1442188.4","0.0"
"14","833/262.1648mz/2.02min","3317.5854","3202.323","1487996.5","2506708.2","1828889.0","37199.945"
"15","834/100.0756mz/2.03min","1172939.1","1672093.0","19696074.0","10955898.0","6146611.5","1619578.6"
"16","835/160.0968mz/2.03min","618501.06","2228387.5","22868074.0","12447219.0","7296613.5","1875496.6"
"17","836/300.1552mz/2.05min","202859.28","560253.6","28603.447","113260.97","31001.99","190372.64"
"18","837/137.0458mz/2.03min","472195.16","748609.1","251200.47","184729.1","140403.16","141640.4"
"19","838/218.0811mz/2.04min","541167.56","756540.9","465197.22","398242.3","483106.66","433193.1"
"20","841/236.0917mz/2.04min","1872417.8","2564804.8","2119092.8","1942409.2","2415342.2","2232420.2"
"21","846/178.0498mz/2.04min","0.0","0.0","412195.94","63483.68","234208.97","0.0"
"22","850/329.1342mz/2.06min","305458.1","103498.02","837266.94","378708.4","423252.22","87518.79"
"23","852/220.0968mz/2.06min","1324940.0","1644838.4","1613000.2","1410301.8","1178594.6","1313964.6"
"24","855/189.1233mz/2.06min","1962856.8","2954625.5","1587143.2","2190862.2","910666.75","1098379.0"
"25","856/203.139mz/2.06min","379150.75","521088.25","339052.22","736047.4","452464.84","444982.62"
"26","857/199.1077mz/2.06min","19857676.0","21181664.0","5273755.0","11792456.0","8506388.0","12385465.0"
"27","861/188.0376mz/2.07min","3951480.8","4226845.0","1426887.6","43300.117","416073.3","2041626.1"
"28","865/192.0645mz/2.08min","0.0","0.0","915367.6","252206.9","23248.354","11644.632"
"29","866/215.139mz/2.07min","9906594.0","11861938.0","26449320.0","30743372.0","17784952.0","10940758.0"
"30","867/227.1389mz/2.06min","282977.44","954287.6","615969.0","1109704.9","191350.52","214833.98"
"31","871/310.1394mz/2.07min","101107.4","300938.28","289066.88","869578.9","1355258.0","53760.47"
"32","872/230.1386mz/2.06min","3895.355","10571.717","834445.7","345519.47","1023932.1","23895.203"
"33","876/247.1288mz/2.08min","622576.75","806636.7","793591.5","1913947.5","663863.1","142665.25"
"34","884/295.1288mz/2.12min","795095.1","834664.9","935658.25","1163031.1","512797.88","529377.94"
"35","885/206.0422mz/2.08min","3673560.0","2687542.5","2795497.2","1548367.2","2734569.0","3732684.5"
"36","889/201.087mz/2.08min","3188467.8","3779583.0","4911283.5","1872183.4","3932876.0","3806059.5"
"37","891/184.0603mz/2.09min","13722705.0","21537064.0","13153495.0","6873025.0","11397850.0","14600651.0"
"38","892/185.0637mz/2.09min","1165207.5","840189.7","1102033.1","244838.22","496809.3","581763.8"
"39","893/192.0633mz/2.08min","2442413.2","2584514.0","0.0","54180.906","70485.15","1035085.44"
"40","896/199.1442mz/2.09min","3672.999","28932.445","668654.4","61160.08","40735.125","0.0"
"41","899/226.071mz/2.09min","1585607.0","2208679.0","2372544.5","1311539.4","2767625.2","1509623.2"
"42","900/153.0742mz/2.1min","766781.94","951116.3","11373.854","20422.555","53069.273","291355.16"
"43","901/152.0706mz/2.09min","11012264.0","15113973.0","1691148.5","1140058.4","1477016.8","5527695.5"
"44","902/217.0818mz/2.12min","0.0","3297.7705","422163.5","2259677.5","430160.0","0.0"
"45","903/231.1338mz/2.11min","121420.95","129739.9","302945.75","2916718.8","145200.8","162744.1"
"46","906/222.0797mz/2.1min","1746543.8","1756767.1","1419555.6","457034.6","817981.8","931379.4"
