"","Filename","GF_MC_RCG_Ctrl_1_neg_20210511_Run68.mzML","GF_MC_RCG_Ctrl_2_neg_20210511_Run147.mzML","GF_MC_RCG_Ctrl_3_neg_20210511_Run159.mzML","GF_S4_MC_RCG_1_neg_20210511_Run71.mzML","GF_S4_MC_RCG_2_neg_20210511_Run91.mzML","GF_S4_MC_RCG_3_neg_20210511_Run171.mzML"
"1","Class","CTRL","CTRL","CTRL","EXP","EXP","EXP"
"2","2417/621.3257mz/4.02min","1853581.1","1528722.8","2167807.5","1153410.8","1499952.5","1322455.5"
"3","2419/667.346mz/4.02min","212680.06","171454.8","194869.52","102057.63","119140.83","104356.0"
"4","2421/471.2617mz/4.02min","181898.94","170892.33","137127.52","4045.1582","18430.557","7070.4727"
"5","2422/765.4031mz/4.04min","96957.22","70725.336","113264.86","33358.125","55306.73","51219.277"
"6","2423/382.1985mz/4.04min","7727658.0","6049860.0","8194853.5","3602193.0","4802605.5","4349309.0"
"7","2424/745.3573mz/4.04min","7194900.5","6141912.0","6747823.0","5914242.5","5698247.0","5692073.0"
"8","2425/584.2931mz/4.03min","84503.25","56628.94","158266.95","271127.4","310013.7","288341.8"
"9","2427/428.186mz/4.04min","1363033.0","973108.0","1952037.5","244102.89","193370.61","138128.34"
"10","2429/329.1718mz/4.06min","672650.8","492870.25","773020.3","21681.168","44200.863","35017.082"
"11","2430/356.1826mz/4.05min","179869.88","110655.31","240713.98","0.0","4011.8486","3722.182"
"12","2431/285.1133mz/4.06min","533892.6","472009.4","652698.3","1016187.1","1013977.6","992011.1"
"13","2433/289.0389mz/4.08min","0.0","0.0","0.0","39096.957","0.0","594973.9"
"14","2434/584.311mz/4.07min","191121.48","163076.92","150156.3","584737.8","558062.9","618289.5"
"15","2435/499.2566mz/4.07min","311621.2","261977.5","300571.72","796110.75","919296.6","742952.94"
"16","2437/396.214mz/4.08min","1971380.0","1506228.5","2066352.2","645944.25","978916.5","799236.75"
"17","2441/214.145mz/4.09min","634296.75","308328.97","751591.75","261231.25","192828.58","217523.23"
"18","2442/964.5149mz/4.1min","425830.2","340923.9","404060.9","546714.44","497650.4","502233.75"
"19","2444/495.2825mz/4.11min","274386.34","218096.95","375948.25","52727.992","83604.92","54744.04"
"20","2445/656.2941mz/4.12min","346911.03","305582.38","483801.66","174016.83","260610.4","225346.11"
"21","2446/227.1291mz/4.13min","28924.922","15049.108","15070.371","136855.03","107462.94","113731.23"
"22","2448/681.3468mz/4.15min","3254456.0","2343162.2","4301857.5","2677287.5","3654404.2","3117926.0"
"23","2449/232.0074mz/4.15min","2449076.0","2279041.8","3380081.2","431190.5","511065.34","469635.6"
"24","2450/188.0176mz/4.15min","3246776.5","2942660.5","4380338.5","568694.3","667031.56","620757.06"
"25","2451/513.2722mz/4.16min","242952.73","195333.52","240945.28","172467.52","211445.11","170104.75"
"26","2452/215.1289mz/4.18min","835442.06","684140.25","1166281.1","2514264.5","2623634.0","2175252.2"
"27","2453/374.2085mz/4.19min","336342.84","270274.4","321320.9","40066.605","53774.69","38180.21"
"28","2454/242.0759mz/4.19min","0.0","0.0","0.0","94028.82","115168.555","100174.49"
"29","2457/297.1132mz/4.2min","1471068.8","1271326.6","1213587.4","1558616.0","1405800.9","1491267.9"
"30","2458/329.1717mz/4.21min","195357.16","173596.19","228785.92","0.0","0.0","0.0"
"31","2462/614.2832mz/4.22min","0.0","0.0","37181.07","111573.46","103573.75","111451.664"
"32","2463/329.0669mz/4.23min","0.0","0.0","0.0","3706887.8","3399071.5","2608487.0"
"33","2464/234.1136mz/4.23min","264444.75","225183.45","349510.88","11351.162","7182.7812","16065.427"
