Filename,NEG_TJGI2pt1_EV_gpdA_CTRL_1_Run14.mzML,NEG_TJGI2pt1_EV_gpdA_CTRL_2_Run144.mzML,NEG_TJGI2pt1_EV_gpdA_CTRL_3_Run195.mzML,NEG_TJGIp10_1_Run23.mzML,NEG_TJGIp10_2_Run133.mzML,NEG_TJGIp10_3_Run210.mzML
Class,CTRL,CTRL,CTRL,EXP,EXP,EXP
69/153.0557mz/2.16min,26660.945,38744.57,53826.625,42279.367,34571.453,31444.818
70/131.0714mz/2.21min,137986.11,166555.34,169418.98,136744.33,159728.98,144326.23
71/180.0337mz/2.26min,25159.244,39853.14,40124.16,23536.688,56124.543,3666.1038
72/196.0108mz/2.26min,2137854.2,3994986.5,3915618.8,2451173.5,4720568.0,2740398.5
73/181.0718mz/2.25min,0.0,0.0,0.0,443238.03,50569.973,20195.652
74/144.0455mz/2.34min,869289.56,680520.56,722656.75,450912.03,653946.56,593915.06
75/158.0823mz/2.36min,143659.61,148174.6,168394.48,175585.28,174939.61,157181.11
76/188.0353mz/2.4min,717033.7,737707.56,786489.0,707328.94,730912.25,637469.1
77/139.0401mz/2.45min,380847.6,1000188.75,1121717.4,605557.8,1093012.6,927915.8
79/178.9778mz/2.57min,219319.02,0.0,0.0,144962.52,0.0,0.0
80/769.2338mz/2.57min,689802.56,981869.2,1100387.2,1264360.4,1261855.9,1061006.0
81/815.2395mz/2.57min,480706.06,748264.3,877930.06,988416.2,926918.06,809017.44
82/178.051mz/2.62min,150918.5,179995.73,181987.83,201867.73,200624.62,164449.03
83/158.0823mz/2.72min,608420.6,534149.56,567824.4,650578.2,573594.3,623468.0
84/444.2003mz/2.73min,10987.552,32905.71,31348.61,52139.906,45689.35,24759.545
86/158.0823mz/2.81min,1320021.0,1062837.8,1061862.4,1271835.6,1103427.9,1191564.4
87/131.0714mz/2.81min,3969693.8,5380116.5,4644734.0,4588748.5,4444825.0,4282657.0
88/315.1562mz/2.85min,123505.51,516156.75,472470.75,883859.0,1004065.8,587386.9
89/426.1898mz/2.88min,120845.28,217184.0,214696.7,334390.5,329955.2,221246.17
90/341.1005mz/2.94min,12610.019,121747.984,134093.1,59590.004,66946.27,193003.38
91/186.1136mz/2.95min,1674071.9,1777681.5,1475168.5,832169.5,393030.47,510955.66
92/171.1027mz/2.95min,257055.6,42814.19,37708.93,98038.336,49105.78,42156.906
93/426.1899mz/2.97min,823611.0,1445008.5,1351070.6,2056973.1,2052381.2,1359046.5
